base                            |Type                            |Oracle                          |MySQL                           |SQL Server                      |Postgres                        |
INTERVAL DAY TO SECOND          |INTERVAL DAY TO SECOND          |INTERVAL DAY TO SECOND          |                                |                                |INTERVAL DAY TO SECOND          |
INTERVAL DAY TO SECOND          |INTERVAL DAY TO SECOND(p)       |INTERVAL DAY(5) TO SECOND(p)    |                                |                                |INTERVAL DAY TO SECOND(p)       |
INTERVAL DAY TO SECOND          |INTERVAL DAY TO SECOND(s)       |                                |                                |                                |INTERVAL DAY TO SECOND(s)       |
INTERVAL DAY TO SECOND          |INTERVAL DAY(5) TO SECOND       |INTERVAL DAY(5) TO SECOND       |                                |                                |                                |
INTERVAL DAY TO SECOND          |INTERVAL DAY(5) TO SECOND(p)    |INTERVAL DAY(5) TO SECOND(p)    |                                |                                |                                |
INTERVAL DAY TO SECOND          |INTERVAL DAY(p) TO SECOND(s)    |INTERVAL DAY(p) TO SECOND(s)    |VARCHAR(30)                     |VARCHAR(30)                     |INTERVAL DAY TO SECOND(s)       |
INTERVAL HOUR TO MINUTE         |INTERVAL HOUR TO MINUTE         |INTERVAL DAY(5) TO SECOND       |                                |                                |INTERVAL HOUR TO MINUTE         |
INTERVAL HOUR TO SECOND         |INTERVAL HOUR TO SECOND         |INTERVAL DAY(5) TO SECOND       |                                |                                |INTERVAL HOUR TO SECOND         |
INTERVAL HOUR TO SECOND         |INTERVAL HOUR TO SECOND(p)      |INTERVAL DAY(5) TO SECOND(p)    |                                |                                |INTERVAL HOUR TO SECOND(p)      |
INTERVAL MINUTE TO SECOND       |INTERVAL MINUTE TO SECOND       |INTERVAL DAY(5) TO SECOND       |                                |                                |INTERVAL MINUTE TO SECOND       |
INTERVAL MINUTE TO SECOND       |INTERVAL MINUTE TO SECOND(p)    |INTERVAL DAY(5) TO SECOND(p)    |                                |                                |INTERVAL MINUTE TO SECOND(p)    |
INTERVAL YEAR TO MONTH          |INTERVAL YEAR TO MONTH          |INTERVAL YEAR TO MONTH          |                                |                                |INTERVAL YEAR TO MONTH          |
INTERVAL YEAR TO MONTH          |INTERVAL YEAR(p) TO MONTH       |INTERVAL YEAR(p) TO MONTH       |VARCHAR(30)                     |VARCHAR(30)                     |INTERVAL YEAR TO MONTH          |
INTERVAL unit                   |INTERVAL unit                   |NUMBER(5)                       |                                |                                |INTERVAL unit                   |
LONG                            |LONG                            |LONG                            |LONG                            |VARCHAR(max)                    |TEXT                            |
LONG RAW                        |LONG RAW                        |LONG RAW                        |LONGBLOB                        |VARBINARY(max)                  |BYTEA                           |
LONG VARBINARY                  |LONG VARBINARY                  |BLOB                            |LONG VARBINARY                  |VARBINARY(max)                  |                                |
LONG VARCHAR                    |LONG VARCHAR                    |CLOB                            |LONG VARCHAR                    |VARCHAR(max)                    |                                |
LONGBLOB                        |LONGBLOB                        |BLOB                            |LONGBLOB                        |VARBINARY(max)                  |                                |
LONGTEXT                        |LONGTEXT                        |CLOB                            |LONGTEXT                        |VARCHAR(max)                    |                                |
MEDIUMBLOB                      |MEDIUMBLOB                      |BLOB                            |MEDIUMBLOB                      |VARBINARY(max)                  |                                |
MEDIUMINT                       |MEDIUMINT                       |NUMBER(7)                       |MEDIUMINT                       |INT                             |                                |
MEDIUMTEXT                      |MEDIUMTEXT                      |CLOB                            |MEDIUMTEXT                      |VARCHAR(max)                    |                                |
MIDDLEINT                       |MIDDLEINT                       |NUMBER(7)                       |MIDDLEINT                       |INT                             |                                |
MONEY                           |MONEY                           |NUMBER(17,2)                    |DECIMAL(15,4)                   |MONEY                           |MONEY                           |
NCHAR VARYING                   |NCHAR VARYING(n)                |NCHAR VARYING(n)                |NCHAR VARYING(n)                |NVARCHAR(n)                     |VARCHAR(n)                      |
NCHAR                           |NCHAR(n)                        |NCHAR(n)                        |NCHAR(n)                        |NCHAR(n)                        |CHAR(n)                         |
NCLOB                           |NCLOB                           |NCLOB                           |NVARCHAR(max)                   |NVARCHAR(max)                   |TEXT                            |
NTEXT                           |NTEXT                           |                                |LONGTEXT                        |NTEXT                           |TEXT                            |
NUMBER                          |NUMBER                          |NUMBER                          |DOUBLE                          |FLOAT                           |DOUBLE PRECISION                |
NUMBER                          |NUMBER(*)                       |NUMBER(*)                       |DOUBLE                          |FLOAT                           |DOUBLE PRECISION                |
NUMBER                          |NUMBER(1)                       |NUMBER(1)                       |                                |                                |                                |
NUMBER                          |NUMBER(10)                      |NUMBER(10)                      |                                |                                |                                |
NUMBER                          |NUMBER(10, 4)                   |NUMBER(10, 4)                   |                                |                                |                                |
NUMBER                          |NUMBER(17,2)                    |NUMBER(17,2)                    |                                |                                |                                |
NUMBER                          |NUMBER(19)                      |NUMBER(19)                      |                                |                                |                                |
NUMBER                          |NUMBER(19, 4)                   |NUMBER(19, 4)                   |                                |                                |                                |
